example,clean_no_abbrev,clean_with_abbrev
gr8 product,gr8 product,great product
thx for the gift card,thx for the gift card,thanks for the gift card
u are awesome,u are awesome,you are awesome
idk about this card,idk about this card,i do not know about this card
imo delivery was late,imo delivery was late,in my opinion delivery was late
redeemed w/ ease,redeemed w ease,redeemed w ease
arrived w/o code,arrived w o code,arrived witho code
cant redeem balance,cant redeem balance,cannot redeem balance
didnt like it,didnt like it,did not like it
u r gr8 but late,u r gr8 but late,you r great but late
