seed,sample_id,generated_text
<s>,1,there is convenient
<s>,2,was shipped after i saw a gift cards for the movies will be well enough
<s>,3,money onto your gift well packaged and the system will take long distance who doesn’t work just don
great,1,no issue or your amazon gift card
great,2,
great,3,gift idea how much to go what is that i cannot go wrong even tried to put whatever
not,1,used this gift card
not,2,be quarantining and i haven t everyone
not,3,know what you are gift was told me non school graduation gift card from multiple payment method of
delivery,1,packing is driving distance gifts it a perfect gift idea
delivery,2,and was disabled
delivery,3,was to give something at amazon balance it
refund,1,process and look for my mom loved
refund,2,etc appreciated
refund,3,the mailing about it to use a upc and got something they didn’t know what you ask for
