seed,sample_id,generated_text
<s>,1,there is convenient
<s>,2,was shipped after i thought it and quick gift card you ll be well enough
<s>,3,money onto your gift well packaged and the system will take long distance who doesn’t work just don
great,1,no issue or your amazon gift card
great,2,
great,3,gift idea how much to go what is that i loved it was o clock
not,1,give in perfect gift card balance was going up instantly 10 can t include the website i will
not,2,activated the parents to my 6yr old grandson and the 25 minutes to use for wuich turn what
not,3,damaged it myself do this is perfect for his family probably wasn t beat a design gave this
delivery,1,people love it so much money or more of my devices everything has the gift option then i
delivery,2,and his mom in a little silver reveal it s a perfect as a gift last year
delivery,3,to get it was small gift card and where did work perfect for christmas they are the menu
refund,1,so not arrive before i purchased as good to let the cuties gift card for grand daughters teachers
refund,2,or one
refund,3,
