rating,raw_text,clean_text,clean_text_with_negation,clean_text_no_abbrev
5,Fast to load.,fast to load,fast to load,fast to load
5,What's to say?  They are wonderful and come in so handy!,what s to say they are wonderful and come in so handy,what s to say they are wonderful and come in so handy,what s to say they are wonderful and come in so handy
5,Wish they would discount the gist cards by 5%,wish they would discount the gist cards by 5,wish they would discount the gist cards by 5,wish they would discount the gist cards by 5
5,Very easy to use and it reloads fast!,very easy to use and it reloads fast,very easy to use and it reloads fast,very easy to use and it reloads fast
4,"The tin is cute and holds the card perfectly. I love that it costs nothing additional to add the tin. Delivery was fast and balance was accurate.  My only concern is that the gift card itself is somewhat ... paper-ish and feels like cardboard. If I didn't know better, I would have thought the gift card was a paper ""placeholder"" and I would have thrown it out inadvertently (similar to the placeholder stock photos you get when you buy a new picture frame). Thankfully I looked at the back of the card and realized the cardboard cutout was actually a gift card.",the tin is cute and holds the card perfectly i love that it costs nothing additional to add the tin delivery was fast and balance was accurate my only concern is that the gift card itself is somewhat paper ish and feels like cardboard if i did not know better i would have thought the gift card was a paper placeholder and i would have thrown it out inadvertently similar to the placeholder stock photos you get when you buy a new picture frame thankfully i looked at the back of the card and realized the cardboard cutout was actually a gift card,the tin is cute and holds the card perfectly i love that it costs nothing additional to add the tin delivery was fast and balance was accurate my only concern is that the gift card itself is somewhat paper ish and feels like cardboard if i did not NOT_know NOT_better i would have thought the gift card was a paper placeholder and i would have thrown it out inadvertently similar to the placeholder stock photos you get when you buy a new picture frame thankfully i looked at the back of the card and realized the cardboard cutout was actually a gift card,the tin is cute and holds the card perfectly i love that it costs nothing additional to add the tin delivery was fast and balance was accurate my only concern is that the gift card itself is somewhat paper ish and feels like cardboard if i didn t know better i would have thought the gift card was a paper placeholder and i would have thrown it out inadvertently similar to the placeholder stock photos you get when you buy a new picture frame thankfully i looked at the back of the card and realized the cardboard cutout was actually a gift card
5,What can go wrong with a gift card other than taking too long to get there. Mine went through as stated.,what can go wrong with a gift card other than taking too long to get there mine went through as stated,what can go wrong with a gift card other than taking too long to get there mine went through as stated,what can go wrong with a gift card other than taking too long to get there mine went through as stated
4,"I've gotten Amazon gift cards in tins for years because they make the gift seem much nicer.  I'm generally happy with them, but I really don't like that you can't see the value.  If you get multiple cards in the same tin with different values, there's no easy way to tell which is which.  Once I got one on which the paint was so scuffed up I didn't feel comfortable giving it as a gift, but Amazon wasn't willing to replace the tin.  I'm guessing the tins are all prefilled with cards, so they couldn't do that, but it was disappointing.  Fortunately, shipping is free, and I had a few more days before I needed to give the card, so I was able to order a second one and use the original gift card myself.",i ve gotten amazon gift cards in tins for years because they make the gift seem much nicer i m generally happy with them but i really don t like that you cannot see the value if you get multiple cards in the same tin with different values there s no easy way to tell which is which once i got one on which the paint was so scuffed up i did not feel comfortable giving it as a gift but amazon wasn t willing to replace the tin i m guessing the tins are all prefilled with cards so they couldn t do that but it was disappointing fortunately shipping is free and i had a few more days before i needed to give the card so i was able to order a second one and use the original gift card myself,i ve gotten amazon gift cards in tins for years because they make the gift seem much nicer i m generally happy with them but i really don t NOT_like NOT_that NOT_you cannot NOT_see NOT_the NOT_value if you get multiple cards in the same tin with different values there s no NOT_easy NOT_way NOT_to tell which is which once i got one on which the paint was so scuffed up i did not NOT_feel NOT_comfortable NOT_giving it as a gift but amazon wasn t NOT_willing NOT_to NOT_replace the tin i m guessing the tins are all prefilled with cards so they couldn t NOT_do NOT_that but it was disappointing fortunately shipping is free and i had a few more days before i needed to give the card so i was able to order a second one and use the original gift card myself,i ve gotten amazon gift cards in tins for years because they make the gift seem much nicer i m generally happy with them but i really don t like that you can t see the value if you get multiple cards in the same tin with different values there s no easy way to tell which is which once i got one on which the paint was so scuffed up i didn t feel comfortable giving it as a gift but amazon wasn t willing to replace the tin i m guessing the tins are all prefilled with cards so they couldn t do that but it was disappointing fortunately shipping is free and i had a few more days before i needed to give the card so i was able to order a second one and use the original gift card myself
5,Great - love it comes with an ornament.,great love it comes with an ornament,great love it comes with an ornament,great love it comes with an ornament
5,Nice gift,nice gift,nice gift,nice gift
5,Great to have for a fun night out,great to have for a fun night out,great to have for a fun night out,great to have for a fun night out
